Config	Implementation	RequestedBatch	Expectation	Observed	OutcomeClass	RuntimeSec	RunnerExit	FailureReason
pure_b4096	GPU_Opt_Pure	4096	pure_success_boundary	SUCCESS	EXPECTED_SUCCESS	65.889429	0	not_applicable
pure_b8192	GPU_Opt_Pure	8192	pure_cuda_oom	OOM_CONFIRMED	EXPECTED_CUDA_OOM	not_recorded	1	oom_evidence=cuda_oom;matched=/work/gj17/j17000/m5291091/lab/thesis_bc_project/build_miyabi/result_corrected_325557_20260717_215817_2404743.opbs/pure_b8192.stderr.log:5;runner_exit=1
um_b10240	GPU_Opt	10240	um_success_boundary	SUCCESS	EXPECTED_SUCCESS	238.672569	0	not_applicable
um_b12288	GPU_Opt	12288	um_failure_status_not_assumed_oom	RUNTIME_FAILED	EXPECTED_FAILURE_STATUS	not_recorded	137	oom_evidence=none;runner_exit=137;sigkill_exit_137
chunked_b16384	GPU_Opt_Pure_Chunked	16384	chunked_tested_limit_success	SUCCESS	EXPECTED_SUCCESS	66.598223	0	not_applicable
