checkpoint_sha	pbs_job_id	config	impl	role	path_type	graph	graph_sha256	n	m	runner_exit	vector_sha256	requested_batch	effective_batch	SUB_BATCH	num_subs	NS_eff	oversubscribed	uses_um	comparison_exit	abs_tol	rel_tol	reference_vector_length	candidate_vector_length	missing_reference_only	missing_candidate_only	mismatched_elements	max_abs_error	max_abs_index	max_abs_reference	max_abs_candidate	max_rel_error	max_rel_index	max_rel_reference	max_rel_candidate	max_bc_reference_index	max_bc_reference_value	max_bc_candidate_index	max_bc_candidate_value	status	reason
6282798ce9942c6297cbdf2963aa7a3c65c6b807	2368269.opbs	pathmerge_b4096	pathmerge_bc	reference	pathmerge	325557_3216152	a095b2e7564e6c620bd0f5437917e0b28f4fecab289adf77633e850aa07da584	325557	3216152	0	1569b9e341f1baecaca010aa36f01d1b9bc1e97530a6156de3d6a9874acf9f84	4096	4096	not_applicable	80	not_applicable	not_applicable	managed_csr	not_applicable	1e-3	1e-6	325557	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	PASS	reference_valid_path_evidence_ok
6282798ce9942c6297cbdf2963aa7a3c65c6b807	2368269.opbs	gpu_opt_b10240	gpu_opt	candidate	um	325557_3216152	a095b2e7564e6c620bd0f5437917e0b28f4fecab289adf77633e850aa07da584	325557	3216152	137	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	10240	10240	6596	2	1	true	true	not_applicable	1e-3	1e-6	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	FAIL	runner_exit_137
