Kernel	Graph	MaxBC_Index	MaxBC_Value
shared	roadNet-TX	400570	164495142042.45
shared	roadNet-TX	400570	164495142042.45
shared	roadNet-TX	400570	164495142042.45
block	roadNet-TX	400570	164495142042.45
block	roadNet-TX	400570	164495142042.45
block	roadNet-TX	400570	164495142042.45
