checkpoint_sha	pbs_job_id	config	impl	path_type	mode	requested_batch	effective_batch	runner_exit	vector_sha256	vector_valid	SUB_BATCH	num_subs	NS_eff	oversubscribed	uses_um	NS	dynamic_um_displayed_gb	free_before_gb	managed_alloc_estimate_gb	managed_alloc_headroom_estimate_gb	managed_alloc_minus_free_before_estimate_gb	prefetch_cum_s	oversubscription_route_evidence	status	reason
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	gpu_opt_b9792	gpu_opt	um	oversubscribed	9792	9792	0	be8f52d32ac03cd495a08c5c6cd138fcdcec916a16830e62e7bc8d3c968d25c5	yes	6596	2	1	true	true	2	204.04	101.4	102.02	5.35	0.62	33.1807	PASS	PASS	runner_ok_and_path_evidence_ok
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	gpu_opt_b1024	gpu_opt	um	in_capacity	1024	1024	0	4a40a553a388ba2cb29d4ea366db979983fa398c55bb8a694882f260efd431cb	yes	1024	1	2	false	true	2	21.34	101.4	21.34	86.03	-80.06	0.0000	in_capacity_control	PASS	runner_ok_and_path_evidence_ok
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	gpu_opt_pure_chunked_b16384	gpu_opt_pure_chunked	chunked	chunked	16384	16384	0	618ffdc4108f0c24a148bc1aa2a18b83d14b48319cd18438f89196b40930a86d	yes	6596	3	1	true	false	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	PASS	runner_ok_and_path_evidence_ok
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	gpu_opt_pure_chunked_b1024	gpu_opt_pure_chunked	chunked	non_chunk	1024	1024	0	5ff0bef083dff51e0c6f15894912549dd5e28bb42e5eaabf626654edbf4627de	yes	1024	1	2	false	false	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	PASS	runner_ok_and_path_evidence_ok
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	gpu_opt_pure_b1024	gpu_opt_pure	pure	pure	1024	1024	0	fc95255fe422693d5f7c8d80d39624015b3f9ad2020b54916f61358718439984	yes	not_applicable	not_applicable	not_applicable	not_applicable	false	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	PASS	runner_ok_and_path_evidence_ok
ac2b409c25c49c41608749afba8c7081871bfe45	2368587.opbs	pathmerge_b4096	pathmerge_bc	pathmerge	comparator	4096	4096	0	94e6379ac52e76025052ff98e97274a16b6467b57454d73c6d68aaa9eeeebd9d	yes	not_applicable	80	not_applicable	not_applicable	managed_csr	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	PASS	runner_ok_and_path_evidence_ok
