Graph	Factor	AddOne	LeaveOneOut	MainEffect	InteractionRel
325557_3216152_corrected_v1	H	1.5159	1.4535	1.4767	0.0429
325557_3216152_corrected_v1	W	1.0770	1.1377	1.1012	0.0533
325557_3216152_corrected_v1	A	1.5733	1.5557	1.5563	0.0113
