OldPath	NewRawPath	Classification	SHA256	PBSJobID	SourceSnapshotID	Reason
failure/early_terminated/memory_correctness_2368398/MANIFEST.txt	raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/_job/job_2368398_20260712/MANIFEST.txt	raw	58a5f4ad88832d64637a9e52f3fd692c70fe218a0eadabbbec2326035fb169a3	2368398	memory_correctness_failfast_20260712	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/early_terminated/memory_correctness_2368398/gpu_opt_pure_b1024.stderr.log	raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/gpu_opt_pure/pure_b1024/job_2368398_20260712/gpu_opt_pure_b1024.stderr.log	raw	d8b1242c4934b7f0cbb04c73ed1f1238bfcb5d9b30f31f06439ed05901e03a12	2368398	memory_correctness_failfast_20260712	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/early_terminated/memory_correctness_2368398/pathmerge_b4096.stderr.log	raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/pathmerge_bc/pathmerge_b4096/job_2368398_20260712/pathmerge_b4096.stderr.log	raw	7c699d161e2e2cc6c21caa529f7cd158e6c55a94f9a00e2b69c9a7e87a8e0f1b	2368398	memory_correctness_failfast_20260712	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/early_terminated/memory_correctness_2368398/run.log	raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/_job/job_2368398_20260712/run.log	raw	93b9f51f4d06991a03421d47d1e9fc8fcdfe79f1b896d5ef3bd94413fa5c43fe	2368398	memory_correctness_failfast_20260712	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/early_terminated/pathmerge_sweep_2359080_roadNet-PA/pathmerge_sweep.log	raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pathmerge_sweep.log	raw	59418cba3c0d6e52b8c25a350cb33f37e18795756c7e166bc041553e0f8e6f29	2359080	phase_def_block_20260710	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/early_terminated/pathmerge_sweep_2359080_roadNet-PA/pathmerge_sweep_results.tsv	raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pathmerge_sweep_results.tsv	raw	b39b2f4f6a8a25a9a3a8a6d23c03166db0a6a1f626d9b429a5dc3a9a8e489760	2359080	phase_def_block_20260710	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/early_terminated/pathmerge_sweep_2359096_email-EuAll/pathmerge_sweep.log	raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pathmerge_sweep.log	raw	44bb21b519df36a7d7a2a92e1f7586e326d085c96326e7daef9baaec0aa84abc	2359096	phase_def_block_20260710	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/early_terminated/pathmerge_sweep_2359096_email-EuAll/pathmerge_sweep_results.tsv	raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pathmerge_sweep_results.tsv	raw	4ac33b396d3c088f68a594ca960531c891253d327a4798807f99f45998e7b15b	2359096	phase_def_block_20260710	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/failed/oom/memory_correctness_2368269/MANIFEST.txt	raw_data/unsuccessful/oom/memory_paths/325557_3216152/_job/job_2368269_20260712/MANIFEST.txt	raw	0a0adb3b512995de27a2add7f390f194eaaf29b472929234459c2ee99bd15b69	2368269	memory_correctness_oom_20260712	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
failure/failed/oom/memory_correctness_2368269/gpu_opt_b10240.stderr.log	raw_data/unsuccessful/oom/memory_paths/325557_3216152/gpu_opt/um_b10240/job_2368269_20260712/gpu_opt_b10240.stderr.log	raw	3b265304753feca4b45f3d35cbacd29b73f2c03bb862b8c3d1eaca9b25fb9f52	2368269	memory_correctness_oom_20260712	Gate J1: result/failure の raw を raw_data へ内容不変移動 (SHA256 保持)
