Implementation	Graph	MaxBC_Index	MaxBC_Value
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_7000_41459	4	3935437.26
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	benchmark_11023_62184	10	11951000.93
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	random	15869	4029653.52
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
GPU_Opt_Pure	56438_300801	25329	6696305.50
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_7000_41459	4	3935437.26
PathMerge_BC	benchmark_11023_62184	10	11951000.93
PathMerge_BC	benchmark_11023_62184	10	11951000.93
PathMerge_BC	benchmark_11023_62184	11	11951000.93
PathMerge_BC	benchmark_11023_62184	10	11951000.93
PathMerge_BC	benchmark_11023_62184	11	11951000.93
PathMerge_BC	benchmark_11023_62184	11	11951000.93
PathMerge_BC	benchmark_11023_62184	11	11951000.93
PathMerge_BC	benchmark_11023_62184	10	11951000.93
PathMerge_BC	benchmark_11023_62184	11	11951000.93
PathMerge_BC	benchmark_11023_62184	10	11951000.93
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	random	15869	4029653.52
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
PathMerge_BC	56438_300801	25329	6696305.50
