LibraryFigureID	Namespace	ThesisFigureNumber	ChapterSection	Title	EditableSource	EditableSlide	SVG	PDF	PNG	WidthIn	HeightIn	PNGPixels	MinFontPt	Objects	CanonicalResultFigureID	Status
F01	editable_library	1.1	1.3	Thesis Overview	docs/thesis/figures/editable/thesis_figure_library.pptx	1	figure_1_1_thesis_overview.svg	figure_1_1_thesis_overview.pdf	figure_1_1_thesis_overview.png	12.61	6.52	3783x1956	20	16	not_applicable	Exported
F02	editable_library	2.1	2.2	Brandes Algorithm Flow	docs/thesis/figures/editable/thesis_figure_library.pptx	2	figure_2_1_brandes_algorithm.svg	figure_2_1_brandes_algorithm.pdf	figure_2_1_brandes_algorithm.png	13.22	3.61	3966x1083	16	15	not_applicable	Exported
F03	editable_library	2.2	2.5	GH200 Memory Hierarchy	docs/thesis/figures/editable/thesis_figure_library.pptx	3	figure_2_2_gh200_memory_hierarchy.svg	figure_2_2_gh200_memory_hierarchy.pdf	figure_2_2_gh200_memory_hierarchy.png	12.72	6.71	3816x2013	14	17	not_applicable	Exported
F04	editable_library	4.1	4.1	Overall GPU Execution Framework	docs/thesis/figures/editable/thesis_figure_library.pptx	4	figure_4_1_gpu_execution_framework.svg	figure_4_1_gpu_execution_framework.pdf	figure_4_1_gpu_execution_framework.png	11.47	6.44	3441x1932	14	21	not_applicable	Exported
F05	editable_library	4.2	4.2	Batch-to-Source Mapping	docs/thesis/figures/editable/thesis_figure_library.pptx	5	figure_4_2_batch_source_mapping.svg	figure_4_2_batch_source_mapping.pdf	figure_4_2_batch_source_mapping.png	13.05	6.52	3915x1956	14	43	not_applicable	Exported
F06	editable_library	4.3	4.4	Hybrid BFS State Transition	docs/thesis/figures/editable/thesis_figure_library.pptx	6	figure_4_3_hybrid_bfs.svg	figure_4_3_hybrid_bfs.pdf	figure_4_3_hybrid_bfs.png	12.47	5.75	3741x1725	14	13	not_applicable	Exported
F07	editable_library	4.4	4.6	Dual-Stream Timeline	docs/thesis/figures/editable/thesis_figure_library.pptx	7	figure_4_4_dual_stream_timeline.svg	figure_4_4_dual_stream_timeline.pdf	figure_4_4_dual_stream_timeline.png	12.59	6.70	3778x2010	14	20	not_applicable	Exported
F08	editable_library	4.5	4.7	Memory Management Variants	docs/thesis/figures/editable/thesis_figure_library.pptx	8	figure_4_5_memory_management_variants.svg	figure_4_5_memory_management_variants.pdf	figure_4_5_memory_management_variants.png	11.96	6.61	3588x1983	15	17	not_applicable	Exported
