graph_base	GPU	GPU_Managed	GPU_ReadMostly	GPU_Opt
benchmark_7000_41459	1.000	1.183	1.439	1.416
benchmark_11023_62184	1.000	0.710	0.982	0.982
56438_300801	1.000	0.196	1.000	1.132
325557_3216152	1.000	0.198	0.999	1.062
