	Sequential	OpenMP	GPU	GPU_Managed	GPU_ReadMostly	GPU_Opt
benchmark_11023_62184 (11K)	1.00	66.92	23.47	20.85	28.63	27.94
benchmark_7000_41459 (7K)	1.00	49.12	13.36	15.85	19.34	19.65
