Implementation	Graph	Nodes	Edges	Trial	Time_sec	GTEPS
GPU_Opt	roadNet-PA	1088092	1541898	1	702.446657	2.3884
GPU_Opt	roadNet-PA	1088092	1541898	2	699.523546	2.3984
GPU_Opt	roadNet-PA	1088092	1541898	3	699.497404	2.3985
GPU_Opt_Pure	roadNet-PA	1088092	1541898	1	700.892352	2.3937
GPU_Opt_Pure	roadNet-PA	1088092	1541898	2	694.936007	2.4142
GPU_Opt_Pure	roadNet-PA	1088092	1541898	3	697.819223	2.4042
GPU_Opt_Pure_Chunked	roadNet-PA	1088092	1541898	1	694.092249	2.4172
GPU_Opt_Pure_Chunked	roadNet-PA	1088092	1541898	2	692.310473	2.4234
GPU_Opt_Pure_Chunked	roadNet-PA	1088092	1541898	3	694.587899	2.4154
