checkpoint_sha	pbs_job_id	config	impl	role	path_type	graph	graph_sha256	n	m	runner_exit	vector_sha256	requested_batch	effective_batch	SUB_BATCH	num_subs	NS_eff	oversubscribed	uses_um	comparison_exit	abs_tol	rel_tol	reference_vector_length	candidate_vector_length	missing_reference_only	missing_candidate_only	mismatched_elements	max_abs_error	max_abs_index	max_abs_reference	max_abs_candidate	max_rel_error	max_rel_index	max_rel_reference	max_rel_candidate	max_bc_reference_index	max_bc_reference_value	max_bc_candidate_index	max_bc_candidate_value	NS	dynamic_um_displayed_gb	free_before_gb	managed_alloc_estimate_gb	managed_alloc_headroom_estimate_gb	managed_alloc_minus_free_before_estimate_gb	prefetch_cum_s	oversubscription_route_evidence	status	reason
29d28c50dec5e70f8d3a9a2341904e1ee94c65f3	2368398.opbs	pathmerge_b4096	pathmerge_bc	reference	pathmerge	325557_3216152	a095b2e7564e6c620bd0f5437917e0b28f4fecab289adf77633e850aa07da584	325557	3216152	0	c895c6121671af6605d834e68bc1443b84624ca595506267901c3a59a643e454	4096	4096	not_applicable	80	not_applicable	not_applicable	managed_csr	not_applicable	1e-3	1e-6	325557	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	PASS	reference_valid_path_evidence_ok
29d28c50dec5e70f8d3a9a2341904e1ee94c65f3	2368398.opbs	gpu_opt_pure_b1024	gpu_opt_pure	candidate	pure	325557_3216152	a095b2e7564e6c620bd0f5437917e0b28f4fecab289adf77633e850aa07da584	325557	3216152	0	b4f0674431bc4c918b7b5a597ca98be6132c6f9ad06b2f31b300ff31f6b23e95	1024	1024	not_applicable	not_applicable	not_applicable	not_applicable	false	3	1e-3	1e-6	325557	325557	0	0	11027	6.638161e+03	289444	8903157.975814402	8909796.137074383	2.000197e-03	325556	892937.5267641286	894727.1570761405	272817	39343001000.107368	272817	39343001000.108551	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	FAIL	full_vector_comparison_failed
