# impl=Sequential graph=chain_200 nodes=200
0	0.000000000000000e+00
1	1.980000000000000e+02
2	3.940000000000000e+02
3	5.880000000000000e+02
4	7.800000000000000e+02
5	9.700000000000000e+02
6	1.158000000000000e+03
7	1.344000000000000e+03
8	1.528000000000000e+03
9	1.710000000000000e+03
10	1.890000000000000e+03
11	2.068000000000000e+03
12	2.244000000000000e+03
13	2.418000000000000e+03
14	2.590000000000000e+03
15	2.760000000000000e+03
16	2.928000000000000e+03
17	3.094000000000000e+03
18	3.258000000000000e+03
19	3.420000000000000e+03
20	3.580000000000000e+03
21	3.738000000000000e+03
22	3.894000000000000e+03
23	4.048000000000000e+03
24	4.200000000000000e+03
25	4.350000000000000e+03
26	4.498000000000000e+03
27	4.644000000000000e+03
28	4.788000000000000e+03
29	4.930000000000000e+03
30	5.070000000000000e+03
31	5.208000000000000e+03
32	5.344000000000000e+03
33	5.478000000000000e+03
34	5.610000000000000e+03
35	5.740000000000000e+03
36	5.868000000000000e+03
37	5.994000000000000e+03
38	6.118000000000000e+03
39	6.240000000000000e+03
40	6.360000000000000e+03
41	6.478000000000000e+03
42	6.594000000000000e+03
43	6.708000000000000e+03
44	6.820000000000000e+03
45	6.930000000000000e+03
46	7.038000000000000e+03
47	7.144000000000000e+03
48	7.248000000000000e+03
49	7.350000000000000e+03
50	7.450000000000000e+03
51	7.548000000000000e+03
52	7.644000000000000e+03
53	7.738000000000000e+03
54	7.830000000000000e+03
55	7.920000000000000e+03
56	8.008000000000000e+03
57	8.094000000000000e+03
58	8.178000000000000e+03
59	8.260000000000000e+03
60	8.340000000000000e+03
61	8.418000000000000e+03
62	8.494000000000000e+03
63	8.568000000000000e+03
64	8.640000000000000e+03
65	8.710000000000000e+03
66	8.778000000000000e+03
67	8.844000000000000e+03
68	8.908000000000000e+03
69	8.970000000000000e+03
70	9.030000000000000e+03
71	9.088000000000000e+03
72	9.144000000000000e+03
73	9.198000000000000e+03
74	9.250000000000000e+03
75	9.300000000000000e+03
76	9.348000000000000e+03
77	9.394000000000000e+03
78	9.438000000000000e+03
79	9.480000000000000e+03
80	9.520000000000000e+03
81	9.558000000000000e+03
82	9.594000000000000e+03
83	9.628000000000000e+03
84	9.660000000000000e+03
85	9.690000000000000e+03
86	9.718000000000000e+03
87	9.744000000000000e+03
88	9.768000000000000e+03
89	9.790000000000000e+03
90	9.810000000000000e+03
91	9.828000000000000e+03
92	9.844000000000000e+03
93	9.858000000000000e+03
94	9.870000000000000e+03
95	9.880000000000000e+03
96	9.888000000000000e+03
97	9.894000000000000e+03
98	9.898000000000000e+03
99	9.900000000000000e+03
100	9.900000000000000e+03
101	9.898000000000000e+03
102	9.894000000000000e+03
103	9.888000000000000e+03
104	9.880000000000000e+03
105	9.870000000000000e+03
106	9.858000000000000e+03
107	9.844000000000000e+03
108	9.828000000000000e+03
109	9.810000000000000e+03
110	9.790000000000000e+03
111	9.768000000000000e+03
112	9.744000000000000e+03
113	9.718000000000000e+03
114	9.690000000000000e+03
115	9.660000000000000e+03
116	9.628000000000000e+03
117	9.594000000000000e+03
118	9.558000000000000e+03
119	9.520000000000000e+03
120	9.480000000000000e+03
121	9.438000000000000e+03
122	9.394000000000000e+03
123	9.348000000000000e+03
124	9.300000000000000e+03
125	9.250000000000000e+03
126	9.198000000000000e+03
127	9.144000000000000e+03
128	9.088000000000000e+03
129	9.030000000000000e+03
130	8.970000000000000e+03
131	8.908000000000000e+03
132	8.844000000000000e+03
133	8.778000000000000e+03
134	8.710000000000000e+03
135	8.640000000000000e+03
136	8.568000000000000e+03
137	8.494000000000000e+03
138	8.418000000000000e+03
139	8.340000000000000e+03
140	8.260000000000000e+03
141	8.178000000000000e+03
142	8.094000000000000e+03
143	8.008000000000000e+03
144	7.920000000000000e+03
145	7.830000000000000e+03
146	7.738000000000000e+03
147	7.644000000000000e+03
148	7.548000000000000e+03
149	7.450000000000000e+03
150	7.350000000000000e+03
151	7.248000000000000e+03
152	7.144000000000000e+03
153	7.038000000000000e+03
154	6.930000000000000e+03
155	6.820000000000000e+03
156	6.708000000000000e+03
157	6.594000000000000e+03
158	6.478000000000000e+03
159	6.360000000000000e+03
160	6.240000000000000e+03
161	6.118000000000000e+03
162	5.994000000000000e+03
163	5.868000000000000e+03
164	5.740000000000000e+03
165	5.610000000000000e+03
166	5.478000000000000e+03
167	5.344000000000000e+03
168	5.208000000000000e+03
169	5.070000000000000e+03
170	4.930000000000000e+03
171	4.788000000000000e+03
172	4.644000000000000e+03
173	4.498000000000000e+03
174	4.350000000000000e+03
175	4.200000000000000e+03
176	4.048000000000000e+03
177	3.894000000000000e+03
178	3.738000000000000e+03
179	3.580000000000000e+03
180	3.420000000000000e+03
181	3.258000000000000e+03
182	3.094000000000000e+03
183	2.928000000000000e+03
184	2.760000000000000e+03
185	2.590000000000000e+03
186	2.418000000000000e+03
187	2.244000000000000e+03
188	2.068000000000000e+03
189	1.890000000000000e+03
190	1.710000000000000e+03
191	1.528000000000000e+03
192	1.344000000000000e+03
193	1.158000000000000e+03
194	9.700000000000000e+02
195	7.800000000000000e+02
196	5.880000000000000e+02
197	3.940000000000000e+02
198	1.980000000000000e+02
199	0.000000000000000e+00
